발생위치,구,동,발생규모,파손개수,위도,경도,연도,월,일,일최대기온,일최저기온,일평균기온,일최대습도,일최저습도,일평균습도,일총강수량,인구수,포트홀 위험 지수,osmid,pagerank,kmeans_cluster
대구 달서구 장동 306-1,달서구,장동,0.04,1,35.83947852,128.5072982,2022,1,1,3.9,-6.2,-1.3041666666666667,61.0,13.0,35.083333333333336,0.0,"17,070",-11.549206423508124,436803381,3.575252322071068e-05,0
대구 동구 율하동 668,동구,율하동,0.15,1,35.86397286,128.6882178,2022,1,1,4.7,-6.0,-1.9,49.0,10.0,32.0,0.0,"42,020",-12.936188002378143,1880695774,3.1853773752981264e-05,0
대구 동구 효목동 647,동구,효목동,0.02,4,35.87662576,128.6448887,2022,1,1,5.2,-5.7,-1.2958333333333332,61.0,14.0,37.29166666666666,0.0,"13,578",-10.927241387696608,7318097078,4.204834888035313e-05,0
대구 동구 신서동 773-3,동구,신서동,0.04,1,35.87190849,128.7247274,2022,1,1,5.2,-5.7,-1.2958333333333332,61.0,14.0,37.29166666666666,0.0,"18,667",-11.099649502021096,4632344616,4.0784167041505093e-05,0
대구 동구 용계동 968-1,동구,용계동,0.04,2,35.87480826,128.6837028,2022,1,1,5.2,-5.7,-1.2958333333333332,61.0,14.0,37.29166666666666,0.0,"10,960",-10.983209852678636,1878712235,4.216976189814737e-05,0
대구 동구 용계동 746-1,동구,용계동,0.04,1,35.8717836,128.6905417,2022,1,1,5.2,-5.7,-1.2958333333333332,61.0,14.0,37.29166666666666,0.0,"10,960",-11.023950929212104,5305332467,8.001918876284671e-05,3
대구 동구 율하동 1300,동구,율하동,0.04,1,35.86249455,128.6895255,2022,1,1,4.7,-6.0,-1.9,49.0,10.0,32.0,0.0,"42,020",-12.935085526383643,5362514531,3.8743998587609085e-05,0
대구 남구 이천동 226-31,남구,이천동,0.6,1,35.85216407,128.6069432,2022,1,1,4.6,-4.5,-0.65,51.0,11.0,32.083333333333336,0.0,"11,919",-12.119637389366105,369750681,5.881392173624869e-05,3
대구 남구 봉덕동 1104-1,남구,봉덕동,0.04,2,35.83647328,128.6052351,2022,1,1,4.6,-4.5,-0.65,51.0,11.0,32.083333333333336,0.0,"9,003",-12.044642597310268,436882911,2.703804470516406e-05,0
대구 동구 방촌동 855-13,동구,방촌동,0.3,1,35.87913637,128.6721981,2022,1,2,7.5,-6.0,0.5791666666666666,78.0,32.0,53.25,0.0,"18,715",-7.000314568847404,12107856471,1.4465317690167468e-05,0
대구 동구 검사동 943-4,동구,검사동,0.06,1,35.88600441,128.6543733,2022,1,2,7.5,-6.0,0.5791666666666666,78.0,32.0,53.25,0.0,"15,488",-6.9662133973179605,4679453205,3.8317873618241875e-05,0
대구 달서구 이곡동 538-5,달서구,이곡동,0.1,2,35.85198174,128.5002066,2022,1,2,6.9,-4.3,0.9541666666666668,73.0,33.0,50.958333333333336,0.0,"22,974",-7.277538487362023,369918513,4.563025069352639e-05,0
대구 북구 침산동 1662-20,북구,침산동,0.06,1,35.89134081,128.5944105,2022,1,2,7.2,-4.4,1.4,66.0,31.0,47.54166666666666,0.0,"4,058",-7.846677215080152,4639022339,2.7191780389763462e-05,0
대구 수성구 만촌동 621-1,수성구,만촌동,0.06,1,35.86777471,128.6494753,2022,1,2,7.5,-6.0,0.5791666666666666,78.0,32.0,53.25,0.0,"22,696",-7.0370107650106055,3026956717,3.7020018858160755e-05,0
대구 동구 지묘동 364,동구,지묘동,0.06,1,35.93858595,128.6388179,2022,1,2,6.3,-4.7,0.1333333333333334,55.0,37.0,46.16666666666666,0.0,"21,639",-8.73840818124997,7021064993,4.3533446539567236e-05,0
대구 중구 대봉동 214-28,중구,대봉동,0.1,2,35.85586885,128.6067549,2022,1,2,7.2,-4.4,1.4,66.0,31.0,47.54166666666666,0.0,"6,806",-7.833328044238424,443197703,2.7543985474430853e-05,0
대구 서구 이현동 42-173,서구,이현동,0.1,1,35.87842931,128.536439,2022,1,2,6.9,-4.3,0.9541666666666668,73.0,33.0,50.958333333333336,0.0,"19,940",-7.288479451023753,7849931597,3.0902244891672746e-05,0
대구 서구 이현동 42-173,서구,이현동,0.12,1,35.87842931,128.536439,2022,1,2,6.9,-4.3,0.9541666666666668,73.0,33.0,50.958333333333336,0.0,"19,940",-7.2886799012045715,7849931597,3.0902244891672746e-05,0
대구 수성구 황금동 240-7,수성구,황금동,0.04,1,35.83933367,128.6396837,2022,1,3,5.8,-2.3,1.2583333333333333,70.0,17.0,48.25,0.0,"23,678",-8.758959865295715,10763522718,4.72400786349775e-05,3
대구 동구 진인동 산 4-7,동구,진인동,0.04,3,35.96806483,128.7242451,2022,1,3,4.6,-0.4,1.6375,69.0,15.0,46.875,0.0,"21,639",-8.899887740654718,436811648,1.5953936337072216e-05,0
대구 수성구 만촌동 919-9,수성구,만촌동,0.04,4,35.85692102,128.6505218,2022,1,3,5.8,-2.3,1.2583333333333333,70.0,17.0,48.25,0.0,"22,696",-8.627091378332079,3021612937,3.0950720832413934e-05,0
대구 수성구 황금동 63,수성구,황금동,0.04,1,35.84594047,128.6389114,2022,1,3,5.8,-2.3,1.2583333333333333,70.0,17.0,48.25,0.0,"23,678",-8.758959865295715,4080868993,4.59876944333935e-05,0
대구 동구 진인동 산 4-7,동구,진인동,0.04,3,35.96806483,128.7242451,2022,1,3,4.6,-0.4,1.6375,69.0,15.0,46.875,0.0,"21,639",-8.899887740654718,436811648,1.5953936337072216e-05,0
대구 달서구 갈산동 966-16,달서구,갈산동,0.06,2,35.84174765,128.4920715,2022,1,3,5.7,-1.7,1.15,66.0,17.0,45.583333333333336,0.0,"22,974",-9.133768264260416,5779561414,2.591374463412875e-05,0
대구 달서구 장동 374-24,달서구,장동,0.25,1,35.84608676,128.5157828,2022,1,3,5.7,-1.7,1.15,66.0,17.0,45.583333333333336,0.0,"17,070",-9.11842420868017,4663010571,4.5109730373404685e-05,0
대구 서구 이현동 42-175,서구,이현동,0.02,1,35.87814468,128.5409229,2022,1,3,5.7,-1.7,1.15,66.0,17.0,45.583333333333336,0.0,"19,940",-9.144308327560507,2778823921,3.824460030320986e-05,0
대구 서구 평리동 573-10,서구,평리동,0.14,2,35.87881665,128.550579,2022,1,3,5.7,-1.7,1.15,66.0,17.0,45.583333333333336,0.0,"7,767",-8.98520608461437,1694300352,5.305058658838794e-05,3
대구 서구 중리동 48-11,서구,중리동,0.04,1,35.86806844,128.5495344,2022,1,3,5.7,-1.7,1.15,66.0,17.0,45.583333333333336,0.0,"19,940",-9.144508777741327,1694299515,3.606021178011887e-05,0
대구 동구 지저동 333-2,동구,지저동,0.06,1,35.90344009,128.6379391,2022,1,3,5.8,-2.3,1.2583333333333333,70.0,17.0,48.25,0.0,"14,378",-8.667815210101729,1874266897,5.380043074598776e-05,3
대구 북구 태전동 991,북구,태전동,0.04,1,35.92914357,128.5478358,2022,1,3,6.7,-3.1,1.0166666666666666,63.0,4.0,39.25,0.0,"21,904",-10.735087584901168,436703119,3.7792973813704676e-05,0
대구 수성구 만촌동 1250-3,수성구,만촌동,0.04,2,35.85421549,128.655829,2022,1,4,6.9,-5.3,0.6083333333333333,58.0,17.0,35.541666666666664,0.0,"22,696",-10.608236290122022,10796622172,2.831170420308762e-05,0
대구 수성구 욱수동 48-4,수성구,욱수동,0.04,3,35.82813354,128.7097205,2022,1,4,7.6,-5.7,0.2583333333333333,51.0,12.0,31.791666666666668,0.0,"30,649",-11.697617423263893,436866997,4.065986718752453e-05,0
대구 수성구 황금동 220,수성구,황금동,0.04,3,35.84103527,128.6387941,2022,1,4,6.9,-5.3,0.6083333333333333,58.0,17.0,35.541666666666664,0.0,"23,678",-10.577140470951788,10775992202,3.943777129787869e-05,0
대구 북구 침산동 126-1,북구,침산동,0.04,1,35.89072083,128.5943562,2022,1,4,7.0,-3.8,1.3041666666666667,51.0,13.0,29.20833333333333,0.0,"4,058",-11.383175165356354,369750876,4.8170015855531136e-05,3
대구 수성구 두산동 968,수성구,두산동,0.04,1,35.83488615,128.6234806,2022,1,4,7.0,-3.8,1.3041666666666667,51.0,13.0,29.20833333333333,0.0,"14,036",-11.481179623574612,365385030,4.627940219322075e-05,0
대구 수성구 범어동 774-66,수성구,범어동,0.25,1,35.85257678,128.6238983,2022,1,4,7.0,-3.8,1.3041666666666667,51.0,13.0,29.20833333333333,0.0,"16,635",-11.508811869706443,369782455,4.2807728207247356e-05,0
대구 달서구 도원동 1439,달서구,도원동,0.06,1,35.80765779,128.5420098,2022,1,4,6.5,-3.9,0.9333333333333336,45.0,14.0,27.25,0.0,"35,413",-12.275357605605189,8247580195,2.0161299454711796e-05,0
대구 남구 봉덕동 1617-21,남구,봉덕동,0.06,2,35.8347568,128.6045112,2022,1,4,7.0,-3.8,1.3041666666666667,51.0,13.0,29.20833333333333,0.0,"9,003",-11.391204597721812,4676209637,4.4737857595526856e-05,0
대구 서구 내당동 1290,서구,내당동,0.08,2,35.85873644,128.5597388,2022,1,4,6.5,-3.9,0.9333333333333336,45.0,14.0,27.25,0.0,"8,338",-11.968884857959758,7546549154,2.6263235344847427e-05,0
대구 달서구 도원동 1462,달서구,도원동,0.06,3,35.80755799,128.5296711,2022,1,4,6.5,-3.9,0.9333333333333336,45.0,14.0,27.25,0.0,"35,413",-12.193875452538252,4989390761,3.200190310335656e-05,0
대구 달서구 두류동 688-13,달서구,두류동,0.06,1,35.84978161,128.5528879,2022,1,4,7.0,-3.8,1.3041666666666667,51.0,13.0,29.20833333333333,0.0,"14,266",-11.483639146253948,436860729,3.937728458669529e-05,0
대구 남구 봉덕동 1617-21,남구,봉덕동,1.5,1,35.8347568,128.6045112,2022,1,4,7.0,-3.8,1.3041666666666667,51.0,13.0,29.20833333333333,0.0,"9,003",-11.446378087274203,4676209637,4.4737857595526856e-05,0
대구 달서구 진천동 511-6,달서구,진천동,0.06,2,35.81369146,128.5242956,2022,1,4,6.5,-3.9,0.9333333333333336,45.0,14.0,27.25,0.0,"51,348",-12.391130965001564,4989337001,3.705971463523934e-05,0
대구 서구 평리동 1621-3,서구,평리동,0.06,1,35.87921744,128.5603713,2022,1,4,6.5,-3.9,0.9333333333333336,45.0,14.0,27.25,0.0,"7,767",-12.003817091283482,1694300380,4.900029997165337e-05,3
대구 달서구 성당동 750-1,달서구,성당동,0.06,1,35.84275471,128.5508844,2022,1,4,6.5,-3.9,0.9333333333333336,45.0,14.0,27.25,0.0,"23,092",-12.154340074065082,1695480744,4.9893302062616285e-05,3
대구 남구 대명동 1291,남구,대명동,0.06,1,35.83957194,128.5786577,2022,1,4,7.0,-3.8,1.3041666666666667,51.0,13.0,29.20833333333333,0.0,"11,254",-11.45405511857772,1697029753,3.6824502389088764e-05,0
대구 수성구 상동 596-3,수성구,상동,0.04,4,35.82942357,128.608318,2022,1,5,4.7,-0.7,2.8166666666666664,57.0,31.0,41.16666666666666,0.0,"16,138",-8.658953734546545,3975233256,4.791703976378138e-05,3
대구 북구 읍내동 510-3,북구,읍내동,0.04,2,35.94737279,128.5516267,2022,1,5,5.2,-2.0,2.183333333333333,64.0,18.0,36.208333333333336,0.0,"26,797",-9.848660428881956,11524533191,3.612972485938255e-05,0
대구 서구 비산동 2127,서구,비산동,0.04,2,35.89354125,128.543729,2022,1,5,4.4,-0.7,2.2916666666666665,55.0,28.0,41.54166666666666,0.0,"9,651",-9.110993472406143,2607832886,2.1869107723659223e-05,0
대구 동구 신암동 295,동구,신암동,0.04,4,35.87888717,128.6258162,2022,1,5,4.7,-0.7,2.8166666666666664,57.0,31.0,41.16666666666666,0.0,"8,668",-8.585582988616459,4636858997,5.6900742472534674e-05,3
대구 남구 봉덕동 883-132,남구,봉덕동,0.09,1,35.83909774,128.6055951,2022,1,5,4.7,-0.7,2.8166666666666664,57.0,31.0,41.16666666666666,0.0,"9,003",-8.71159773187327,1344375297,4.9740449241062205e-05,3
대구 남구 대명동 516-8,남구,대명동,0.09,4,35.83311149,128.5792142,2022,1,5,4.7,-0.7,2.8166666666666664,57.0,31.0,41.16666666666666,0.0,"11,254",-8.611483946595305,1697029535,1.4527656682123787e-05,0
대구 서구 이현동 50-1,서구,이현동,0.06,1,35.87735763,128.5470689,2022,1,5,4.4,-0.7,2.2916666666666665,55.0,28.0,41.54166666666666,0.0,"19,940",-9.252994116238858,2778823905,3.9663435749310044e-05,0
